id,Station,s,x,y,"Attempts or threats to murder, assaults, harassments and related offences 2010","Attempts or threats to murder, assaults, harassments and related offences 2011","Attempts or threats to murder, assaults, harassments and related offences 2012","Attempts or threats to murder, assaults, harassments and related offences 2013","Attempts or threats to murder, assaults, harassments and related offences 2014","Attempts or threats to murder, assaults, harassments and related offences 2015",Dangerous or negligent acts 2010,Dangerous or negligent acts 2011,Dangerous or negligent acts 2012,Dangerous or negligent acts 2013,Dangerous or negligent acts 2014,Dangerous or negligent acts 2015,Kidnapping and related offences 2010,Kidnapping and related offences 2011,Kidnapping and related offences 2012,Kidnapping and related offences 2013,Kidnapping and related offences 2014,Kidnapping and related offences 2015,"Robbery, extortion and hijacking offences 2010","Robbery, extortion and hijacking offences 2011","Robbery, extortion and hijacking offences 2012","Robbery, extortion and hijacking offences 2013","Robbery, extortion and hijacking offences 2014","Robbery, extortion and hijacking offences 2015",Burglary and related offences 2010,Burglary and related offences 2011,Burglary and related offences 2012,Burglary and related offences 2013,Burglary and related offences 2014,Burglary and related offences 2015,Theft and related offences 2010,Theft and related offences 2011,Theft and related offences 2012,Theft and related offences 2013,Theft and related offences 2014,Theft and related offences 2015,"Fraud, deception and related offences 2010","Fraud, deception and related offences 2011","Fraud, deception and related offences 2012","Fraud, deception and related offences 2013","Fraud, deception and related offences 2014","Fraud, deception and related offences 2015",Controlled drug offences 2010,Controlled drug offences 2011,Controlled drug offences 2012,Controlled drug offences 2013,Controlled drug offences 2014,Controlled drug offences 2015,Weapons and Explosives Offences 2010,Weapons and Explosives Offences 2011,Weapons and Explosives Offences 2012,Weapons and Explosives Offences 2013,Weapons and Explosives Offences 2014,Weapons and Explosives Offences 2015,Damage to property and to the environment 2010,Damage to property and to the environment 2011,Damage to property and to the environment 2012,Damage to property and to the environment 2013,Damage to property and to the environment 2014,Damage to property and to the environment 2015,Public order and other social code offences 2010,Public order and other social code offences 2011,Public order and other social code offences 2012,Public order and other social code offences 2013,Public order and other social code offences 2014,Public order and other social code offences 2015,"Offences against government, justice procedures and organisation of crime 2010","Offences against government, justice procedures and organisation of crime 2011","Offences against government, justice procedures and organisation of crime 2012","Offences against government, justice procedures and organisation of crime 2013","Offences against government, justice procedures and organisation of crime 2014","Offences against government, justice procedures and organisation of crime 2015"
20584,Ballyhaunis, Mayo ,149440,279630,14,17,20,15,15,19,11,7,8,8,8,5,0,0,0,0,0,0,1,0,1,0,1,0,14,16,9,17,16,19,30,39,40,51,36,33,1,3,4,3,3,4,9,7,8,5,3,3,2,1,3,2,0,1,26,6,22,21,17,16,63,28,38,26,20,30,2,1,4,0,0,1
20569,Bangor Erris, Mayo ,85880,323065,9,3,4,3,4,2,7,4,1,1,5,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5,3,2,11,9,4,6,4,6,4,1,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,7,2,5,4,3,3,6,3,3,3,3,0,0,0,0,0,0,0
20566,Beal an Mhuirthead, Mayo ,70539,332132,23,18,8,19,10,18,14,10,14,7,13,16,0,0,0,0,0,0,0,0,0,0,0,1,4,11,2,2,6,4,29,20,21,13,9,16,7,1,7,5,0,2,3,0,7,0,3,2,3,1,1,3,1,1,31,21,16,11,8,16,43,50,25,35,23,17,3,2,6,2,4,2
20561,Bonniconlon, Mayo ,132750,318312,1,3,5,3,4,5,3,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,3,5,0,16,14,15,7,9,11,2,0,0,1,0,2,1,1,4,0,3,1,0,2,1,0,1,0,0,2,7,4,3,1,4,3,6,3,1,0,0,0,0,0,0,0
20551,Castlebar, Mayo ,114657,290095,117,65,106,105,108,91,53,50,46,42,46,40,2,0,0,0,0,0,5,1,5,3,2,6,96,61,99,55,47,27,224,291,300,328,242,254,25,27,35,39,29,34,50,55,38,40,45,32,10,5,7,7,6,4,159,136,145,128,120,89,355,287,258,213,208,220,25,26,13,30,30,20
20582,Charlestown, Mayo ,147966,301773,8,12,21,13,14,8,10,6,4,8,4,4,1,0,0,0,0,0,0,0,0,0,0,0,9,13,10,15,12,13,26,32,24,28,24,48,5,3,2,3,1,0,5,8,1,1,1,6,1,0,3,0,3,1,7,17,13,11,14,13,11,28,19,14,14,13,1,1,0,1,2,11
20572,Claremorris, Mayo ,135024.18,275315.22,24,26,17,21,23,23,28,26,17,19,12,10,3,0,0,0,0,0,2,3,1,3,1,0,14,15,19,12,10,7,76,69,99,47,49,46,12,11,4,10,11,6,19,11,9,8,6,6,6,4,4,3,1,1,33,28,26,22,14,26,103,57,57,37,44,39,5,11,3,2,2,1
20577,Cong, Mayo ,114758,255362,2,2,6,3,4,2,1,7,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,0,12,4,12,10,15,14,8,8,1,0,1,0,0,0,0,2,1,4,2,2,0,2,0,0,0,0,3,10,4,5,8,4,9,4,6,1,4,2,0,0,0,0,0,0
20558,Crossmolina, Mayo ,113519,317547,6,7,4,8,3,6,3,3,9,2,3,7,0,0,0,0,0,0,0,0,0,0,0,0,18,5,11,10,5,5,14,18,14,15,17,9,2,3,1,2,0,1,0,2,0,1,4,0,0,1,1,0,1,0,11,8,13,8,9,9,14,14,12,5,5,12,0,1,6,0,1,0
20585,Foxford, Mayo ,127334,304337,10,10,8,12,5,5,10,5,4,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,9,13,16,9,10,6,33,27,22,20,15,13,0,3,3,0,0,1,8,7,7,2,3,4,2,3,0,0,0,0,19,7,15,18,5,6,16,8,14,16,12,6,2,1,0,0,0,2
20571,Gleann na Muaidhe, Mayo ,90600,333737,4,8,3,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,5,2,4,1,4,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,5,20,6,17,5,5,14,42,29,13,5,0,0,0,0,0,1,1
20588,Gob an Choire, Mayo ,74046,299957.01,3,7,12,6,1,3,2,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,1,0,5,5,12,9,1,2,2,1,0,1,0,1,0,0,0,0,3,2,0,0,0,0,0,0,2,3,9,5,4,2,1,3,5,1,6,5,0,0,0,0,0,0
20591,Keel, Mayo ,63428,304895,2,1,7,0,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,2,5,12,12,1,4,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,3,6,6,5,0,0,7,4,2,1,4,0,0,0,0,0,0
20583,Kilkelly, Mayo ,144570,291862,6,7,5,3,2,4,1,4,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,10,9,8,4,6,7,17,14,19,17,12,7,0,4,0,0,0,1,1,1,5,1,1,2,0,1,1,0,0,0,7,10,7,3,3,3,11,5,13,8,6,3,0,0,0,0,2,0
20559,Killala, Mayo ,120423,330148,4,5,2,2,5,9,3,4,6,1,7,7,0,1,0,0,0,0,0,0,0,0,0,0,10,2,10,12,7,3,23,14,22,35,17,5,1,0,4,1,1,0,9,1,1,2,0,6,0,2,1,0,0,0,17,9,7,14,12,4,16,4,8,4,6,8,1,0,0,0,0,0
20573,Kilmaine, Mayo ,125619,259757,3,2,2,1,1,3,1,1,1,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,3,6,1,4,6,6,6,7,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,3,2,0,2,6,4,4,5,2,6,3,1,0,0,0,0,0
20581,Kiltimagh, Mayo ,133851,288962,7,10,4,3,3,12,8,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,10,11,11,8,21,19,25,13,18,20,0,4,9,1,0,0,4,2,2,1,2,3,0,9,0,1,1,1,21,14,6,9,3,8,14,9,8,7,6,9,1,4,0,0,0,0
20575,Knock, Mayo ,139499,283243,4,3,0,1,0,2,3,6,1,3,1,3,0,0,0,0,0,0,1,0,0,0,0,0,8,7,6,2,14,5,12,22,25,8,8,15,1,2,0,3,1,1,0,1,3,2,4,1,1,0,0,0,0,0,10,8,8,7,6,10,3,4,2,2,5,4,0,0,0,0,1,0
